model,rank,attribute,attribute_nice,general_dominance,relative_importance,conf.low,conf.high,within_r_squared,bootstrap_unit,bootstrap_replicates
respondent_fixed_effects,1,municip,Municipal roots,0.027769768234175568,0.44735537671025793,0.37691812689426124,0.5081052878093638,0.06207540957345289,respondent,4999
respondent_fixed_effects,2,government,Government-opposition cue,0.02229630161802589,0.3591809022483052,0.2934449489276889,0.4209521726031132,0.06207540957345289,respondent,4999
respondent_fixed_effects,3,age,Candidate age,0.0076597742381182025,0.12339466289069762,0.0837679448296427,0.17047864076015282,0.06207540957345289,respondent,4999
respondent_fixed_effects,4,key_issue,Policy priority,0.0027119042291880112,0.04368725470879183,0.02379621307359503,0.07674644988920855,0.06207540957345289,respondent,4999
respondent_fixed_effects,5,occupation,Occupation,0.0015204776746481391,0.024494041764621482,0.009899966614594807,0.049642932356012866,0.06207540957345289,respondent,4999
respondent_fixed_effects,6,sex,Candidate sex,1.1718357929707757e-4,0.001887761677325963,2.1780997250335477e-5,0.011048813702112933,0.06207540957345289,respondent,4999
