office,municip,estimate,std.error,conf.low,conf.high,p.value
mp,outside_knows_issues,0.39107952170059446,0.009450701448618747,0.3725463187267889,0.4096127246744,1.618130899288917e-277
mp,local_few_years,0.5248658350010432,0.00900401606092274,0.5072085999118028,0.5425230700902837,0
mp,local_since_birth,0.5814947793424663,0.00924235457710957,0.563370152904448,0.5996194057804846,0
mayor,outside_knows_issues,0.3963685354133909,0.009465226960368734,0.3778068473309376,0.4149302234958442,1.5537057866504173e-282
mayor,local_few_years,0.535986172187572,0.00928921460992414,0.5177696513537533,0.5542026930213908,0
mayor,local_since_birth,0.5688049166222203,0.009113521555377669,0.5509329368850282,0.5866768963594124,0
councillor,outside_knows_issues,0.3909303766804558,0.010037070221042225,0.37124728112609334,0.4106134722348183,5.332293615988438e-253
councillor,local_few_years,0.5190362062675179,0.009430230007844908,0.5005431486066386,0.5375292639283972,0
councillor,local_since_birth,0.5863879232713523,0.009521482591725406,0.567715915649125,0.6050599308935795,0
