rating,n,percent
0,201,2.276846397825102
1,222,2.5147258722247394
2,316,3.579519710013593
3,357,4.043951064793838
4,400,4.531037607612143
5,1503,17.025373810602627
6,1542,17.46714997734481
7,1750,19.823289533303125
8,1314,14.884458541005891
9,571,6.4680561848663345
10,652,7.3855913004077935
