political_alignment,municip,estimate,std.error,conf.low,conf.high,p.value
non_aligned,outside_knows_issues,0.21469021212545117,0.01066952155368951,0.19376283265510913,0.2356175915957932,1.2525792030868925e-80
non_aligned,local_few_years,0.3173935601959134,0.011743631716517752,0.29435940294201796,0.3404277174498089,2.7473208387491066e-133
non_aligned,local_since_birth,0.35639308116705054,0.012023244472032938,0.33281048674003827,0.3799756755940628,6.953599652642974e-155
aligned,outside_knows_issues,0.49361390924269694,0.012929222145346607,0.4682543149318861,0.5189735035535078,1.6166776909352546e-228
aligned,local_few_years,0.6258008834481356,0.012269637542183789,0.6017350094989852,0.6498667573972859,0
aligned,local_since_birth,0.688409935398046,0.011232011672775506,0.6663792783241866,0.7104405924719053,0
