direction,political_alignment,municip,contrast,estimate,std.error,conf.low,conf.high,p.value,p_holm
home_within_alignment,non_aligned,NA,local_few_years - outside_knows_issues,0.10270334807046227,0.016035573504603995,0.07125090382853971,0.13415579231238484,1.9645268309743214e-10,1.9645268309743214e-10
home_within_alignment,non_aligned,NA,local_since_birth - outside_knows_issues,0.14170286904159934,0.016541520039843598,0.1092580527348767,0.17414768534832198,2.4268327831101867e-17,7.280498349330561e-17
home_within_alignment,aligned,NA,local_few_years - outside_knows_issues,0.13218697420543868,0.018868435486099604,0.09517810670915161,0.16919584170172575,3.5787689608900177e-12,7.157537921780035e-12
home_within_alignment,aligned,NA,local_since_birth - outside_knows_issues,0.19479602615534902,0.01781573332033917,0.15985194643621412,0.22974010587448393,6.614419425706985e-27,2.645767770282794e-26
alignment_within_home,NA,outside_knows_issues,aligned - non_aligned,0.2789236971172458,0.017143399825719812,0.24529834365042863,0.31254905058406296,2.7985735620764118e-55,1.3992867810382057e-54
alignment_within_home,NA,local_few_years,aligned - non_aligned,0.3084073232522222,0.01807902867494139,0.272946811585243,0.3438678349192014,3.5504931862807806e-60,2.1302959117684683e-59
alignment_within_home,NA,local_since_birth,aligned - non_aligned,0.3320168542309955,0.01737357360618518,0.29794003403029684,0.3660936744316941,1.227253462398937e-73,8.59077423679256e-73
