coding,definition,anti_max,pro_min,respondents,profiles,municip,contrast,estimate,std.error,conf.low,conf.high,p.value
narrow,0-2 vs 8-10,2,8,1381,7366,outside_knows_issues,aligned - non_aligned,0.29992917779809886,0.01870469058757645,0.26323647610668505,0.33662187948951267,3.4133604637884033e-53
narrow,0-2 vs 8-10,2,8,1381,7366,local_few_years,aligned - non_aligned,0.3244232124968162,0.019604836778467777,0.28596470797073936,0.36288171702289307,2.9981580846226142e-56
narrow,0-2 vs 8-10,2,8,1381,7366,local_since_birth,aligned - non_aligned,0.33519521079136744,0.018837691701573917,0.298241602875513,0.3721488187072219,6.281291788384368e-64
primary,0-3 vs 7-10,3,7,1635,8712,outside_knows_issues,aligned - non_aligned,0.2789236971172458,0.017143399825719812,0.24529834365042863,0.31254905058406296,2.7985735620764118e-55
primary,0-3 vs 7-10,3,7,1635,8712,local_few_years,aligned - non_aligned,0.3084073232522222,0.01807902867494139,0.272946811585243,0.3438678349192014,3.5504931862807806e-60
primary,0-3 vs 7-10,3,7,1635,8712,local_since_birth,aligned - non_aligned,0.3320168542309955,0.01737357360618518,0.29794003403029684,0.3660936744316941,1.227253462398937e-73
broad,0-4 vs 6-10,4,6,1841,9776,outside_knows_issues,aligned - non_aligned,0.2593218828085631,0.016233667299744098,0.2274835363162,0.2911602293009262,6.822104472020518e-54
broad,0-4 vs 6-10,4,6,1841,9776,local_few_years,aligned - non_aligned,0.29893651282125755,0.01723845460142514,0.2651275231173909,0.3327455025251242,1.6281534595638754e-62
broad,0-4 vs 6-10,4,6,1841,9776,local_since_birth,aligned - non_aligned,0.30700196056082674,0.01675973730016406,0.27413185712510973,0.33987206399654374,5.549838221560534e-69
