contrast,estimate,std.error,conf.low,conf.high,p.value,p_holm
Aligned outsider minus non-aligned resident of a few years,0.17622034904678352,0.018442457022769195,0.14004700289074118,0.21239369520282586,4.3369256847247294e-21,8.673851369449459e-21
Aligned outsider minus non-aligned lifelong resident,0.13722082807564645,0.019054266152164052,0.09984746917771709,0.17459418697357582,9.045048413847228e-13,9.045048413847228e-13
